id,parent,introduce,iconName
0,打开更衣室门,,
1,请进入更衣室穿戴安全防护用品。,,
2,前往高温室,,
3,"点击“恒温干燥箱门”,抽提筒烘干",,
4,点击"样品瓶"，样品放入电热恒温鼓风干燥箱,,
5,点击"样品瓶"，样品放到研磨碗中研磨粉碎,,
6,前往脂肪含量测定室,,
7,点击"样品纸包"  ，空样品包称取,,
8,点击"勺子"，样品用勺子放入样品包,,
9,点击"样品纸包”，样品纸包放入台秤秤重,,
10,前往抽提室 点击"样品纸包"，样品纸包放入抽提篮,,
11,点击"抽提篮"，抽提篮放上移至脂肪测定仪上,,
12,点击"水管"，连接橡皮冷却管,,
13,前往脂肪含量测定室 点击“抽提筒”，抽提筒称量,,
14,前往抽提室 点击“石油醚”，开始抽提,,
15,点击“连杆”，开始抽提,,
16,点击“冷凝管旋塞”，冷凝管旋塞转为开启状态,,
17,点击“连杆”，提升压紧杆，将抽提筒取出，抽提结束,,
18,前往高温室 点击“恒温干燥箱门”恒温干燥箱开门,,
19,前往抽提室 点击“抽提筒”，石油醚回收,,
20,"点击”拉手”，抽提篮中取出,关闭测定仪",,
21,前往脂肪含量测定室 点击“抽提筒"，抽提筒称量记录数据,,
